year,mean_score
19940204,0.75
19940322,0.75
19940418,0.75
19940517,0.2857142857142857
19940816,0.08333333333333333
19941115,0.5714285714285714
19950201,0.5
19950706,-0.5
19951219,-1.0
19960131,0.0
19970325,0.3
19980929,-0.4
19981015,-0.3333333333333333
19981117,-0.2
19990518,0.2
19990630,0.125
19990824,0.25
19991005,0.125
19991116,0.3181818181818182
19991221,0.3333333333333333
20000202,0.5555555555555556
20000321,0.4444444444444444
20000516,0.625
20000628,0.08333333333333333
20000822,0.0
20001003,0.0625
20001115,0.16666666666666666
20001219,-0.3333333333333333
20010103,-0.5
20010131,-0.6363636363636364
20010320,-0.6
20010418,-0.4166666666666667
20010515,-0.46153846153846156
20010627,-0.625
20010821,-0.5555555555555556
20010917,-0.7777777777777778
20011002,-0.6111111111111112
20011106,-0.5714285714285714
20011211,-0.5625
20020130,-0.2
20020319,-0.027777777777777776
20020507,-0.0625
20020626,-0.03125
20020813,-0.11764705882352941
20020924,-0.15
20021106,-0.19047619047619047
20021210,-0.027777777777777776
20030129,-0.09375
20030318,-0.13157894736842105
20030506,-0.16666666666666666
20030625,-0.22916666666666666
20030812,-0.21052631578947367
20030916,-0.225
20031028,-0.2
20031209,-0.02631578947368421
20040128,-0.08333333333333333
20040316,-0.15789473684210525
20040504,0.05555555555555555
20040630,0.125
20040810,0.06521739130434782
20040921,0.125
20041110,0.11363636363636363
20041214,0.1
20050202,0.11363636363636363
20050322,0.13043478260869565
20050503,0.08333333333333333
20050630,0.13636363636363635
20050809,0.11363636363636363
20050920,0.02
20051101,0.022727272727272728
20051213,0.175
20060131,0.175
20060328,0.09090909090909091
20060510,0.1590909090909091
20060629,0.1956521739130435
20060808,0.16666666666666666
20060920,0.07894736842105263
20061025,0.09523809523809523
20061212,0.09523809523809523
20070131,0.047619047619047616
20070321,0.025
20070509,0.025
20070618,0.0
20070807,-0.047619047619047616
20070810,0.0
20070817,-0.15625
20070918,-0.20454545454545456
20071031,-0.08
20071211,-0.2
20080122,-0.20833333333333334
20080130,-0.25
20080311,-0.11764705882352941
20080318,-0.16666666666666666
20080430,-0.17307692307692307
20080625,-0.043478260869565216
20080805,-0.041666666666666664
20080916,-0.16666666666666666
20081008,-0.3103448275862069
20081029,-0.3333333333333333
20081216,-0.4482758620689655
20090128,-0.48333333333333334
20090318,-0.48148148148148145
20090429,-0.3793103448275862
20090624,-0.5294117647058824
20090812,-0.25862068965517243
20090923,-0.25
20091104,-0.23214285714285715
20091216,-0.1774193548387097
20100127,-0.1
20100316,-0.21153846153846154
20100428,-0.125
20100509,0.0
20100623,-0.2916666666666667
20100810,-0.23214285714285715
20100921,-0.24074074074074073
20101103,-0.3103448275862069
20101214,-0.3620689655172414
20110126,-0.38461538461538464
20110315,-0.18518518518518517
20110427,-0.25
20110622,-0.21428571428571427
20110809,-0.3125
20110921,-0.27941176470588236
20111102,-0.26785714285714285
20111213,-0.2692307692307692
20120125,-0.26
20120313,-0.2037037037037037
20120425,-0.16071428571428573
20120620,-0.2903225806451613
20120801,-0.3448275862068966
20120913,-0.28125
20121024,-0.234375
20121212,-0.3
20130130,-0.203125
20130320,-0.25
20130501,-0.22857142857142856
20130619,-0.265625
20130731,-0.20588235294117646
20130918,-0.2878787878787879
20131030,-0.25
20131218,-0.25
20140129,-0.21212121212121213
20140319,-0.2236842105263158
20140430,-0.25
20140618,-0.21428571428571427
20140730,-0.1388888888888889
20140917,-0.12162162162162163
20141029,-0.11428571428571428
20141217,-0.17647058823529413
20150128,-0.1323529411764706
20150318,-0.12121212121212122
20150429,-0.21875
20150617,-0.06451612903225806
20150729,-0.08064516129032258
20150917,-0.09375
20151028,-0.078125
20151216,-0.0967741935483871
20160127,-0.15517241379310345
20160316,-0.14516129032258066
20160427,-0.12903225806451613
20160615,-0.1896551724137931
20160727,-0.14516129032258066
20160921,-0.125
20161102,-0.11290322580645161
20161214,-0.1
