year,sd_score
19940204,0.25
19940322,0.25
19940418,0.25
19940517,0.45175395145262565
19940816,0.1863389981249825
19941115,0.4948716593053935
19950201,0.4629100498862757
19950706,0.7071067811865476
19951219,0.0
19960131,0.0
19970325,0.39999999999999997
19980929,0.48989794855663565
19981015,0.47140452079103173
19981117,0.4000000000000001
19990518,0.24494897427831783
19990630,0.21650635094610965
19990824,0.4330127018922193
19991005,0.21650635094610965
19991116,0.4895604370122277
19991221,0.4714045207910317
20000202,0.4969039949999533
20000321,0.4969039949999533
20000516,0.4841229182759271
20000628,0.44876373392787533
20000822,0.5773502691896257
20001003,0.5266343608235224
20001115,0.6871842709362769
20001219,0.4714045207910317
20010103,0.5
20010131,0.4810456929208347
20010320,0.4898979485566356
20010418,0.4930066485916347
20010515,0.4985185152621432
20010627,0.4841229182759271
20010821,0.4969039949999533
20010917,0.41573970964154905
20011002,0.4581228472908512
20011106,0.4948716593053935
20011211,0.46351240544347894
20020130,0.4
20020319,0.2620550314460168
20020507,0.24206145913796356
20020626,0.12103072956898178
20020813,0.32218973970892123
20020924,0.3570714214271425
20021106,0.39267672624930106
20021210,0.1145307118227128
20030129,0.2633171804117612
20030318,0.31797489404196244
20030506,0.37267799624996495
20030625,0.40771637064126925
20030812,0.40768245749551757
20030916,0.4023369234857771
20031028,0.4000000000000001
20031209,0.25514104512717517
20040128,0.3435921354681384
20040316,0.36464227527765836
20040504,0.15713484026367724
20040630,0.3112474899497183
20040810,0.37020405143318263
20040921,0.3112474899497183
20041110,0.29893060086286144
20041214,0.282842712474619
20050202,0.29893060086286144
20050322,0.3027910495040026
20050503,0.3726779962499649
20050630,0.308287726505694
20050809,0.29893060086286144
20050920,0.49959983987187184
20051101,0.4389365435415447
20051213,0.3269174207655505
20060131,0.36314597615834876
20060328,0.38836380660534237
20060510,0.3157373633965864
20060629,0.38275688829693505
20060808,0.37267799624996495
20060920,0.40598022685635565
20061025,0.42591770999996
20061212,0.42591770999996
20070131,0.1467717619754518
20070321,0.2947456530637899
20070509,0.2947456530637899
20070618,0.1543033499620919
20070807,0.2629847861235062
20070810,0.0
20070817,0.34089725358236606
20070918,0.44361866581688936
20071031,0.46216880033165375
20071211,0.469041575982343
20080122,0.49826086429589156
20080130,0.4330127018922193
20080311,0.32218973970892123
20080318,0.5270462766947299
20080430,0.49888929888741723
20080625,0.4401838419851432
20080805,0.45452967144315476
20080916,0.372677996249965
20081008,0.46263475396547377
20081029,0.4714045207910317
20081216,0.4973174173053778
20090128,0.49131343243278913
20090318,0.49965694678637196
20090429,0.48521542343000995
20090624,0.4991341984846218
20090812,0.42791978089623645
20090923,0.4531634835874829
20091104,0.41148995077867545
20091216,0.4315834890406339
20100127,0.4898979485566356
20100316,0.48383637020804326
20100428,0.5253966755382705
20100509,0.0
20100623,0.5187458165828638
20100810,0.5587317088272149
20100921,0.5505951387895743
20101103,0.5785504046745695
20101214,0.5397405462930527
20110126,0.48650425541051995
20110315,0.47430549906909997
20110427,0.4217636961434867
20110622,0.3879564461142935
20110809,0.46351240544347894
20110921,0.5028035587434929
20111102,0.43264433712806133
20111213,0.4213250442347432
20120125,0.40298883359219767
20120313,0.47646964186180024
20120425,0.44428054659374033
20120620,0.5044030893907061
20120801,0.4753120259341455
20120913,0.4990224819584785
20121024,0.4838707052250632
20121212,0.5099019513592785
20130130,0.4653522691198572
20130320,0.4841229182759271
20130501,0.4681705602335411
20130619,0.5151512975573292
20130731,0.4715064571141588
20130918,0.4772125984249583
20131030,0.5036630526336385
20131218,0.4930066485916347
20140129,0.5079713519466731
20140319,0.5090932137408712
20140430,0.5335936864527374
20140618,0.4823412290324038
20140730,0.5218970618904426
20140917,0.5502506235541171
20141029,0.4485805276602166
20141217,0.4518321028158005
20150128,0.3495548330589622
20150318,0.34881407373397993
20150429,0.4318835925339142
20150617,0.27655529354003633
20150729,0.3383254348935973
20150917,0.4038389994787527
20151028,0.39744054193677825
20151216,0.4099440331335108
20160127,0.34996177810662826
20160316,0.443475067253791
20160427,0.42059370356146114
20160615,0.3808745178340434
20160727,0.4249012862038546
20160921,0.4330127018922193
20161102,0.415616087958875
20161214,0.3741657386773941
